V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
7.17,18.49,36.33,11.48,12.46,20.50,30.21,46.87,5.23,nan,59.62,3.51,4.82,2.56,11.88,7.88,23.28,9.58,nan,11.22,7.82,32.09,19.47,7.85,3.03,10.71,6.89,0.88,31.81,11.64,9.33,20.72,4.36,8.04,3.63,4.76,5,0.4402
10.56,28.43,52.49,10.09,31.53,16.35,37.09,55.84,7.00,29.22,72.97,1.15,4.40,3.51,7.46,8.56,9.84,10.77,7.84,12.96,8.02,49.29,11.98,10.77,4.42,28.86,20.81,4.73,38.75,nan,9.82,19.96,4.33,11.91,8.86,9.10,0,0.5407
8.21,60.24,35.60,7.94,23.05,41.75,39.71,28.51,2.74,37.26,44.50,5.96,4.17,4.31,12.14,13.12,13.92,7.71,8.19,11.86,nan,37.85,12.24,7.50,3.50,13.69,21.36,14.90,23.09,11.04,24.65,16.64,2.54,12.82,11.71,17.58,1,0.5454
13.12,45.91,32.99,4.93,nan,20.04,36.64,29.76,5.29,28.48,45.73,4.00,4.67,2.71,11.98,10.14,12.44,13.81,10.18,11.14,18.42,19.04,12.31,10.08,2.35,13.41,12.30,nan,35.13,17.01,17.17,10.11,3.79,nan,11.76,19.68,5,0.5332
10.36,46.15,26.18,9.58,36.27,40.32,39.75,24.85,4.43,34.30,24.71,3.76,2.58,1.52,nan,19.36,18.84,6.31,8.69,11.57,9.88,28.00,11.09,11.98,3.21,11.25,nan,nan,26.45,14.89,17.08,9.90,1.94,19.02,11.67,19.41,1,0.5114
9.76,51.01,44.66,10.46,26.91,41.08,37.55,41.21,3.32,26.66,46.78,4.60,nan,1.62,12.77,15.08,14.38,5.73,9.87,15.19,13.75,37.81,11.94,8.00,3.30,17.53,14.66,9.60,33.54,5.84,18.63,15.85,1.27,13.19,12.21,18.93,1,0.5480
11.48,38.98,36.40,6.30,30.94,29.00,31.75,34.10,3.17,26.88,nan,4.32,0.98,3.65,11.55,9.37,15.97,7.71,10.90,14.21,17.08,25.31,11.22,9.28,1.79,12.43,15.73,10.03,42.29,nan,15.97,14.65,0.93,11.47,12.56,19.18,0,0.5160
14.39,51.24,nan,7.90,nan,31.58,23.01,44.57,4.28,33.53,49.83,3.23,5.04,3.47,6.89,11.32,17.69,14.11,9.19,11.99,14.86,31.16,11.60,10.47,3.97,17.34,15.10,14.71,43.06,7.56,12.58,nan,3.74,9.45,6.06,19.47,1,0.5295
13.45,40.63,26.21,6.62,17.77,39.69,30.53,29.35,4.34,33.75,nan,5.09,2.44,3.22,5.42,nan,20.23,4.42,8.33,14.04,13.49,33.24,11.55,11.87,4.79,13.74,16.12,15.25,45.68,10.73,11.41,13.80,2.48,13.57,7.70,18.18,1,0.5047
14.38,24.60,43.33,7.58,31.74,14.21,18.43,48.41,4.73,16.13,42.29,2.23,3.88,0.50,9.65,9.36,25.60,7.13,7.30,15.43,8.61,32.53,13.53,9.72,nan,26.58,11.17,8.01,47.04,11.82,9.88,5.46,2.02,23.50,nan,7.41,4,0.4684
12.41,43.04,38.50,11.04,nan,32.21,32.82,41.49,5.30,24.74,42.96,nan,4.72,2.87,9.31,12.45,18.33,9.83,10.28,15.89,17.38,28.60,12.71,5.70,3.80,17.59,12.75,11.35,39.13,14.91,16.19,14.13,2.99,14.09,9.80,15.42,4,0.5284
18.28,52.50,25.96,7.49,16.77,29.70,36.85,16.82,3.25,28.86,46.26,1.91,3.96,4.60,8.08,15.27,25.80,11.31,11.62,11.69,15.90,9.64,14.22,12.05,3.25,7.92,24.13,11.76,25.06,11.32,19.47,15.90,4.38,20.76,10.42,17.92,4,0.5011
14.63,40.97,29.18,12.60,38.20,32.82,44.31,26.45,4.44,30.41,53.27,1.57,4.72,2.79,8.71,11.35,12.44,8.34,13.21,8.22,19.83,20.69,15.48,10.32,3.23,11.75,16.85,11.40,33.58,14.66,13.50,13.93,3.14,14.07,13.70,15.49,1,0.5364
10.42,28.89,15.24,10.55,24.00,26.37,42.01,17.27,3.51,26.04,50.70,5.48,3.40,2.45,4.03,7.83,18.58,8.33,3.26,7.15,21.70,28.99,15.52,11.07,2.98,11.34,13.21,12.97,31.39,15.56,12.63,19.45,4.71,18.33,nan,4.01,0,0.4705
17.52,58.21,31.72,8.69,13.79,38.52,40.57,27.49,3.90,31.83,46.27,nan,5.06,1.72,7.60,18.74,21.45,9.54,8.41,11.29,18.27,27.04,12.86,9.16,4.07,16.79,18.68,nan,nan,10.84,20.90,14.24,2.87,14.66,6.53,18.83,0,0.5308
13.78,47.63,30.20,11.00,32.63,41.17,37.60,26.22,4.82,29.41,33.58,3.86,3.01,3.23,10.31,13.59,22.62,6.81,13.96,10.85,15.38,25.99,19.57,8.90,2.97,14.31,9.34,13.08,36.32,13.77,18.75,10.55,2.35,18.41,13.26,15.85,5,0.5367
12.24,31.78,30.00,9.06,27.66,19.01,35.82,42.99,3.69,nan,44.85,3.05,1.29,3.38,nan,nan,20.67,nan,8.11,12.18,9.19,26.51,13.95,3.51,nan,14.39,13.03,10.63,26.33,13.14,13.08,12.58,3.31,17.53,7.86,nan,4,0.4678
11.26,53.66,34.39,8.68,48.41,37.99,30.30,37.54,3.75,36.52,23.64,3.48,3.54,3.59,11.01,11.04,16.72,7.95,10.20,15.60,10.88,30.59,13.38,14.39,3.25,14.33,21.10,16.05,40.51,13.22,18.65,9.16,4.26,15.16,9.47,26.17,1,0.5587
10.92,38.59,42.19,nan,27.55,29.38,38.15,33.41,4.23,23.51,45.49,1.54,6.50,nan,nan,12.09,18.54,10.52,nan,15.23,14.68,26.61,nan,8.29,4.21,14.52,14.03,8.02,35.84,17.06,18.99,17.51,3.33,14.13,12.64,15.04,1,0.5280
12.37,22.46,40.01,12.73,48.35,15.22,23.83,54.56,4.72,4.03,46.83,2.95,3.62,2.16,11.07,13.15,20.55,9.41,5.11,13.91,11.94,27.41,11.79,nan,4.15,nan,9.83,5.94,41.61,12.50,2.93,2.66,2.28,20.88,14.52,6.79,4,0.4752
15.55,35.98,33.30,5.95,24.03,29.97,37.68,27.31,2.40,36.20,66.41,4.50,4.19,2.43,12.67,10.97,15.34,2.42,nan,9.05,16.36,28.53,nan,12.48,3.30,14.29,19.11,10.10,48.92,11.99,10.14,19.69,4.58,10.17,8.52,16.09,1,0.5390
13.52,44.54,32.55,12.77,31.48,34.00,30.88,43.21,4.63,20.19,48.63,2.14,3.99,4.43,10.36,nan,14.73,8.52,9.99,15.34,18.23,24.51,13.56,10.03,4.03,12.41,13.50,10.44,37.89,7.14,9.56,11.74,0.95,12.31,10.74,16.28,5,0.5119
13.66,nan,21.78,11.16,24.76,26.31,34.66,26.72,3.50,30.31,46.92,2.66,4.55,5.75,nan,8.12,nan,12.78,10.65,11.54,20.04,19.71,16.47,9.19,5.48,8.72,16.14,13.29,33.47,17.61,13.40,16.60,4.57,15.77,9.88,10.55,0,0.4916
5.84,42.03,33.32,6.81,16.74,30.64,23.41,43.16,0.84,28.77,54.46,3.86,3.95,3.02,nan,10.30,13.39,9.30,8.79,nan,19.82,38.64,13.13,4.38,4.49,12.55,14.49,10.01,25.79,6.67,11.08,9.58,3.32,11.61,nan,10.24,5,0.4612
5.67,18.63,12.94,7.02,17.36,18.40,33.38,36.90,3.25,21.82,53.60,3.41,3.16,3.53,10.13,13.65,23.86,13.15,3.90,7.99,8.99,23.36,9.93,6.98,3.54,6.32,11.37,8.41,23.73,12.47,6.86,20.07,4.02,8.13,11.18,10.65,5,0.4071
10.64,47.09,30.27,8.40,21.34,32.56,38.33,32.92,4.95,30.27,37.44,4.52,2.79,1.60,13.79,22.04,23.97,9.43,11.44,11.98,7.88,23.65,14.30,nan,nan,nan,20.33,12.25,10.81,12.80,nan,9.45,2.64,18.74,7.61,15.61,1,0.4757
12.78,25.23,34.00,6.33,22.02,21.61,43.01,24.64,2.98,21.52,34.47,4.08,4.66,4.44,12.81,20.82,20.77,5.56,11.33,14.20,9.90,17.93,11.97,5.10,4.22,7.45,10.17,10.89,27.15,21.43,14.86,12.51,2.05,22.14,7.22,10.64,1,0.4513
10.52,39.89,35.45,nan,37.12,31.72,34.56,33.12,3.26,19.46,40.46,1.56,3.28,4.57,12.06,10.17,18.59,9.10,12.14,15.06,19.45,14.80,12.37,6.93,4.26,11.04,13.60,9.48,36.59,16.17,16.34,14.37,3.24,16.03,15.81,18.29,0,0.5182
11.18,26.01,24.53,17.42,42.88,14.50,38.61,48.39,4.48,21.78,55.08,3.39,3.00,3.02,15.64,10.10,18.61,14.06,12.06,6.26,5.27,10.95,17.65,10.13,5.04,5.79,9.15,5.81,25.06,13.50,6.16,19.06,3.91,12.54,nan,13.26,5,0.4659
7.71,27.01,56.77,8.93,28.58,11.30,39.89,60.04,4.89,40.13,82.70,4.50,4.50,2.22,7.52,10.20,3.78,14.66,12.52,12.30,0.46,49.83,9.57,6.53,nan,23.99,21.73,4.96,29.56,8.26,9.25,25.06,2.69,12.03,2.47,nan,0,0.5395
9.13,58.39,17.34,12.62,29.82,40.14,47.46,16.71,6.47,30.96,28.79,3.58,3.87,4.16,11.30,20.83,23.18,14.97,8.73,7.22,6.24,12.87,10.48,9.45,3.83,1.46,10.00,17.30,13.10,nan,24.52,23.76,2.98,23.41,10.18,20.96,2,0.5138
15.96,50.75,33.61,6.67,14.18,24.61,28.58,28.43,2.51,31.67,nan,4.18,3.81,6.10,8.96,9.18,14.65,11.01,11.21,11.52,22.58,17.89,8.95,6.11,2.98,8.77,21.51,12.53,28.64,9.31,19.01,13.43,1.39,14.86,6.40,14.93,1,0.4906
9.54,63.10,49.80,11.99,25.79,51.93,35.34,34.61,2.31,32.54,42.61,1.58,4.02,5.41,9.78,16.56,10.80,5.71,14.94,14.46,18.18,43.98,14.60,10.62,nan,17.94,18.63,12.81,29.30,9.00,nan,9.93,3.34,13.28,9.33,14.55,4,0.5713
14.66,44.28,38.85,9.47,27.11,28.71,56.95,33.18,5.23,37.98,nan,3.85,3.40,3.67,6.69,16.15,10.12,10.45,8.77,17.03,nan,32.17,10.65,9.58,4.43,6.70,22.06,11.43,20.78,14.10,23.15,21.01,4.20,14.13,5.85,22.09,3,0.5331
8.92,nan,30.70,9.77,38.04,47.24,31.46,27.31,2.32,36.52,25.14,4.83,2.40,3.87,10.59,14.00,20.67,4.20,10.89,13.39,13.76,32.35,14.32,10.58,3.66,15.92,nan,18.67,39.08,13.42,18.99,11.42,1.41,19.21,14.87,20.66,1,0.5542
15.15,48.99,36.55,15.17,31.27,41.93,38.16,36.28,3.36,18.67,43.53,3.22,4.67,3.14,8.41,17.87,19.24,8.03,11.34,14.97,16.15,21.81,14.52,13.20,4.20,nan,13.03,8.47,40.06,9.21,12.48,15.03,1.72,15.78,10.67,19.29,1,0.5491
13.63,43.49,34.14,8.57,20.55,47.43,39.24,22.83,4.05,37.59,34.23,1.86,3.94,4.97,nan,19.30,16.49,6.49,15.49,15.37,13.69,31.81,10.79,8.14,2.95,12.93,15.91,17.01,43.26,15.36,16.90,14.92,3.21,15.28,12.63,18.68,5,0.5503
6.46,40.09,36.27,10.27,24.74,42.56,12.05,54.69,3.08,18.09,32.59,4.83,3.93,3.27,14.75,15.15,26.60,6.89,12.51,18.73,12.92,nan,14.75,7.71,1.85,18.27,9.96,12.94,50.26,14.01,9.36,9.37,1.96,5.47,8.19,14.52,3,0.5029
16.71,43.27,36.35,8.74,25.65,27.65,38.33,24.74,4.61,25.49,38.05,3.90,3.21,5.17,10.50,13.20,21.76,7.63,13.15,15.62,14.88,10.62,14.26,8.74,2.32,8.02,14.81,8.62,nan,13.95,18.97,15.10,nan,22.32,7.80,20.60,0,0.5094
15.25,53.28,31.37,15.67,35.01,48.03,47.43,nan,2.66,28.67,19.69,4.10,2.15,3.26,5.78,24.25,nan,9.15,13.67,10.79,13.92,17.14,8.83,12.08,4.17,8.12,15.46,17.83,26.88,20.40,21.84,10.24,5.31,18.24,7.06,18.94,1,0.5425
10.46,44.65,25.51,3.94,36.05,25.32,32.43,34.21,3.59,33.21,35.14,4.66,3.91,3.42,8.68,13.81,15.04,10.68,5.60,15.40,14.07,32.70,13.37,6.70,5.10,13.40,11.23,16.16,30.29,10.80,13.20,8.20,3.76,23.08,11.72,16.68,5,0.4929
15.61,37.08,39.80,12.02,29.86,32.23,38.97,45.06,2.60,29.32,47.03,4.04,5.12,5.39,9.49,11.37,20.32,6.57,13.01,16.96,11.29,32.07,19.06,7.15,3.21,20.14,16.24,9.20,44.12,12.36,12.84,16.76,5.07,13.87,12.26,17.36,3,0.5572
9.60,50.68,nan,8.82,23.94,27.86,14.52,39.70,4.41,25.60,51.57,4.15,2.86,3.74,9.48,10.04,21.60,15.36,13.37,12.49,11.51,24.94,11.67,10.90,5.10,13.95,17.29,12.25,31.25,6.21,15.31,12.60,2.24,18.06,nan,11.37,4,0.4953
10.89,39.26,41.10,12.39,32.97,27.20,nan,47.01,2.51,19.53,56.77,4.31,4.53,2.36,11.38,nan,16.65,13.05,14.01,15.73,14.99,23.77,14.10,nan,3.34,17.05,16.87,8.21,nan,13.02,10.62,13.82,1.96,13.81,13.86,12.59,0,0.5240
15.01,nan,43.02,11.41,nan,41.54,38.80,nan,3.71,31.61,46.57,4.70,2.68,3.65,nan,17.54,13.89,9.70,14.00,15.79,10.92,41.01,14.78,11.40,2.16,16.38,17.50,12.01,34.18,8.57,16.87,14.47,1.61,10.61,7.42,14.25,5,0.5537
13.36,53.05,31.58,13.43,49.77,35.56,34.39,37.42,5.11,31.28,46.02,4.49,1.64,0.95,8.73,8.59,14.40,12.17,11.15,11.14,16.27,25.71,13.97,12.76,3.53,17.75,nan,15.05,38.60,10.45,15.53,13.29,4.71,15.12,16.76,20.01,1,0.5789
9.82,65.46,46.69,8.74,18.11,40.47,25.92,31.63,1.92,23.89,54.15,1.34,2.79,3.20,11.04,16.39,18.33,12.15,14.86,18.09,23.45,19.19,12.04,7.01,3.97,15.29,16.25,9.13,33.12,9.65,18.61,17.00,2.34,20.37,7.95,19.53,4,0.5477
12.95,48.86,34.96,8.90,39.16,31.30,28.64,44.85,4.36,35.81,44.60,4.51,3.10,1.63,10.35,9.85,13.92,9.90,12.39,15.18,15.97,31.04,17.21,11.26,1.40,15.68,18.37,12.36,41.72,13.07,11.67,10.07,3.58,11.20,nan,nan,1,0.5433
13.91,58.80,nan,7.86,35.74,34.77,36.43,42.49,5.62,27.21,60.35,5.36,5.36,7.69,14.31,10.88,14.05,11.79,15.05,17.75,16.98,33.89,18.71,11.29,5.35,20.90,16.96,9.75,nan,10.04,18.28,20.44,1.41,11.30,14.59,19.44,4,0.6217
14.87,42.03,55.37,8.96,38.88,18.93,52.75,47.51,4.24,27.05,55.25,3.05,3.53,3.93,10.58,15.52,10.62,nan,7.80,15.80,7.78,43.61,10.48,11.04,5.51,27.62,22.77,10.31,33.85,21.06,21.96,22.00,4.00,11.75,11.12,12.96,2,0.5956
9.30,52.86,41.90,11.81,24.38,31.78,31.98,27.53,3.50,29.49,32.70,2.64,1.82,2.44,10.42,10.44,22.71,12.00,12.93,12.32,16.98,11.57,9.47,4.10,2.72,10.04,15.18,8.54,21.90,16.99,27.44,14.55,4.40,22.70,3.12,20.96,3,0.4997
10.99,57.22,22.10,8.59,nan,39.57,42.73,26.13,2.13,39.95,37.10,1.71,3.85,nan,9.39,17.32,20.12,8.50,6.43,9.74,14.16,30.75,15.53,8.81,4.04,12.33,21.76,14.22,14.98,9.29,19.19,11.80,6.35,18.11,9.68,nan,1,0.5090
11.71,53.66,33.36,10.64,34.33,46.84,30.39,31.16,5.83,41.22,39.52,4.66,5.14,1.50,7.57,12.11,14.58,6.77,15.63,13.33,14.32,31.34,15.28,13.15,4.57,12.67,16.26,16.78,49.70,11.09,15.02,16.86,4.93,13.22,7.08,22.73,1,0.5800
13.88,51.26,26.28,7.26,36.09,26.56,42.48,nan,3.74,39.78,44.29,3.38,3.03,4.58,9.68,8.61,7.63,9.85,nan,13.88,18.80,34.37,17.83,7.56,3.62,8.60,18.08,15.19,23.03,9.77,16.50,9.98,3.31,15.54,9.91,16.77,1,0.5146
9.36,22.69,49.88,10.82,nan,20.20,14.64,57.98,3.12,11.00,34.73,4.36,3.45,nan,12.56,6.38,24.97,9.84,14.34,20.05,3.96,nan,15.39,10.71,4.00,24.98,9.06,6.88,55.69,nan,8.10,7.25,2.84,20.75,17.54,13.26,4,0.5223
12.43,36.77,29.57,5.60,28.19,22.24,42.54,32.75,4.87,29.58,41.77,3.73,5.59,4.73,14.26,15.45,22.31,8.08,8.90,12.91,6.36,25.48,15.09,5.00,3.61,11.59,19.59,11.10,17.17,10.52,17.03,12.25,4.67,20.43,15.59,15.70,1,0.4829
12.47,41.20,26.42,8.31,28.61,35.04,43.65,20.99,3.31,25.51,35.00,3.08,nan,5.12,10.24,18.27,nan,5.95,9.58,11.71,nan,20.94,nan,11.90,5.35,7.45,15.73,9.84,24.38,14.31,15.47,10.22,3.52,17.39,11.57,17.22,1,0.4883
10.58,49.33,31.14,5.94,0.00,nan,29.73,27.63,2.38,34.64,52.99,3.99,1.66,4.22,6.40,15.53,19.18,11.33,8.76,10.93,nan,26.39,6.49,1.98,4.25,10.10,19.85,12.56,16.48,8.23,20.15,nan,2.49,16.54,5.42,13.19,4,0.4549
13.29,9.72,38.65,12.01,25.36,4.48,12.88,53.13,3.80,11.44,56.18,4.97,3.32,4.78,13.20,0.94,28.53,12.25,12.94,11.26,7.13,5.21,8.42,8.98,3.32,nan,10.31,2.08,54.10,15.93,8.85,19.70,1.29,8.66,0.73,12.82,5,0.4369
8.50,48.20,nan,7.79,22.40,36.94,15.29,35.26,2.74,28.95,42.60,2.80,5.02,1.91,11.32,11.09,22.50,9.63,12.45,14.28,13.85,30.31,11.37,12.02,4.09,13.29,22.21,18.47,42.76,12.98,15.63,15.56,3.34,11.17,10.75,11.85,4,0.5126
15.35,27.39,34.54,6.35,21.05,21.90,34.42,36.82,3.36,19.66,55.85,5.97,4.26,4.16,11.93,12.86,nan,nan,10.46,15.20,14.31,23.74,12.77,10.97,3.35,10.70,15.84,7.91,43.93,13.00,9.58,16.91,0.24,8.89,10.14,13.31,1,0.4871
nan,44.04,31.79,nan,27.77,34.90,29.65,32.73,3.08,29.21,36.39,3.94,5.05,3.46,7.15,nan,23.51,11.48,9.05,14.68,11.73,24.15,11.54,11.80,nan,13.22,19.11,10.92,33.47,nan,15.44,19.16,1.95,17.80,8.33,19.34,0,0.5110
11.47,47.49,32.82,7.63,22.93,37.74,35.37,nan,4.31,31.45,34.70,3.81,1.90,5.68,8.80,13.42,nan,5.43,9.91,nan,14.88,nan,16.51,9.00,4.71,13.34,19.89,10.64,25.22,9.63,nan,8.99,2.26,19.08,13.63,16.92,1,0.5014
9.39,44.28,32.82,9.42,38.79,39.66,41.44,27.69,nan,31.52,44.58,4.01,4.93,1.96,13.52,16.02,17.36,5.85,11.91,8.95,13.53,29.34,13.88,9.08,3.54,16.86,14.60,13.79,36.16,14.45,16.49,15.73,2.64,15.87,16.07,18.12,5,0.5566
14.49,49.81,48.41,11.62,14.93,43.06,22.59,32.72,4.31,17.10,49.07,4.19,2.35,4.65,8.68,17.08,20.02,9.78,20.83,16.71,17.22,18.97,11.50,11.10,3.34,12.14,12.18,10.05,nan,nan,16.25,nan,5.80,nan,7.19,13.19,2,0.5409
9.78,38.89,48.01,8.60,32.49,13.30,40.32,51.93,5.88,36.73,89.81,5.90,2.66,3.77,10.86,11.56,3.03,16.24,11.63,7.13,7.43,41.76,10.15,9.36,2.97,21.65,nan,6.84,23.34,6.59,9.83,21.78,4.50,10.34,4.91,10.29,0,0.5451
13.89,nan,38.20,7.80,23.36,36.42,36.95,24.83,2.56,36.47,58.47,2.89,3.67,2.68,7.62,15.01,15.15,12.22,17.83,13.67,21.16,21.92,17.80,8.00,6.60,13.37,22.48,10.72,25.56,12.00,16.55,13.39,1.87,19.15,10.18,17.36,4,0.5517
12.21,47.23,44.13,13.32,19.13,29.63,nan,36.71,3.64,12.13,55.79,3.70,3.80,2.15,12.29,19.61,19.87,nan,10.98,15.58,18.13,4.34,0.00,3.06,2.72,nan,15.06,11.08,36.25,12.21,nan,21.97,2.83,20.81,8.91,17.86,4,0.5169
16.16,33.05,19.92,11.94,29.30,21.74,32.13,41.09,4.72,24.24,50.73,1.62,4.98,3.59,9.21,10.90,25.00,12.59,8.77,8.49,13.28,14.79,13.07,2.15,1.91,15.62,10.52,11.59,32.09,9.33,10.58,11.65,3.33,17.02,14.03,14.89,4,0.4783
5.10,29.35,33.44,10.40,15.81,29.98,17.05,39.94,1.76,19.36,48.31,5.12,3.29,2.95,11.98,8.36,27.16,13.42,16.26,14.85,7.90,23.40,14.73,9.91,3.37,7.27,5.93,11.07,50.61,15.83,12.55,28.36,2.37,8.68,6.96,8.37,5,0.4868
9.78,52.17,44.00,6.76,12.24,32.12,20.24,28.85,2.82,nan,41.42,3.12,1.28,3.26,12.66,14.65,24.73,nan,10.83,23.13,17.55,nan,11.98,10.12,2.88,10.52,nan,10.42,39.78,10.86,16.36,20.45,2.14,26.06,6.32,16.91,4,0.4961
15.14,33.73,30.41,9.90,22.83,33.40,47.34,30.88,4.42,27.16,43.45,4.32,3.43,3.39,9.62,18.26,21.32,5.45,11.29,15.49,11.22,23.03,15.99,7.10,2.15,11.96,14.84,9.80,36.13,14.01,12.47,19.19,2.37,15.79,12.89,18.47,1,0.5190
nan,3.31,23.82,7.27,18.41,14.29,35.02,38.71,3.17,15.61,nan,3.76,4.97,5.22,13.71,13.74,25.13,5.74,7.51,nan,7.29,19.67,12.71,8.93,2.26,8.63,10.85,1.30,35.12,15.16,1.96,19.79,5.01,7.92,8.73,10.63,5,0.4074
11.33,59.60,25.71,6.96,23.39,41.45,31.22,20.47,2.15,36.91,37.12,3.61,1.93,5.75,9.07,15.79,21.94,8.05,10.45,16.52,17.45,20.87,15.50,11.38,2.20,9.61,18.86,17.29,39.34,11.88,16.23,20.47,2.21,22.83,8.45,nan,4,0.5411
9.26,43.98,36.30,9.91,36.32,41.82,20.06,23.84,0.95,nan,27.82,4.01,2.64,3.64,9.42,11.96,23.57,4.45,15.25,nan,15.19,15.24,9.32,12.38,3.12,13.62,16.63,13.63,49.88,17.19,nan,10.58,2.65,20.08,7.19,23.38,1,0.5268
